variable1,operator,variable2,result,difficulty_level
76,|,76,1.0,easy
32,|,32,1.0,easy
11,|,11,1.0,easy
7,|,7,1.0,easy
28,|,1,28.0,easy
19,|,1,19.0,easy
20,|,1,20.0,easy
0,|,2,0.0,easy
10,|,10,1.0,easy
87,|,1,87.0,easy
9,|,1,9.0,easy
17,|,17,1.0,easy
6,|,6,1.0,easy
4,|,4,1.0,easy
6,|,1,6.0,easy
68,|,1,68.0,easy
40,|,40,1.0,easy
18,|,1,18.0,easy
46,|,46,1.0,easy
79,|,1,79.0,easy
80,|,80,1.0,easy
23,|,23,1.0,easy
52,|,1,52.0,easy
75,|,1,75.0,easy
7,|,1,7.0,easy
29,|,1,29.0,easy
86,|,86,1.0,easy
65,|,1,65.0,easy
93,|,93,1.0,easy
82,|,82,1.0,easy
53,|,53,1.0,easy
89,|,89,1.0,easy
20,|,20,1.0,easy
66,|,1,66.0,easy
78,|,1,78.0,easy
33,|,33,1.0,easy
68,|,68,1.0,easy
57,|,1,57.0,easy
1,|,1,1.0,easy
86,|,1,86.0,easy
34,|,1,34.0,easy
19,|,19,1.0,easy
74,|,1,74.0,easy
70,|,70,1.0,easy
81,|,1,81.0,easy
71,|,1,71.0,easy
30,|,1,30.0,easy
61,|,1,61.0,easy
18,|,18,1.0,easy
50,|,1,50.0,easy
63,|,1,63.0,easy
34,|,34,1.0,easy
9,|,9,1.0,easy
48,|,48,1.0,easy
47,|,47,1.0,easy
54,|,54,1.0,easy
45,|,1,45.0,easy
31,|,31,1.0,easy
87,|,87,1.0,easy
59,|,59,1.0,easy
66,|,66,1.0,easy
97,|,1,97.0,easy
79,|,79,1.0,easy
73,|,1,73.0,easy
78,|,78,1.0,easy
73,|,73,1.0,easy
64,|,1,64.0,easy
83,|,1,83.0,easy
52,|,52,1.0,easy
40,|,1,40.0,easy
41,|,41,1.0,easy
4,|,1,4.0,easy
0,|,3,0.0,easy
26,|,1,26.0,easy
11,|,1,11.0,easy
31,|,1,31.0,easy
17,|,1,17.0,easy
90,|,1,90.0,easy
77,|,1,77.0,easy
13,|,1,13.0,easy
61,|,61,1.0,easy
90,|,90,1.0,easy
0,|,66,0.0,easy
83,|,83,1.0,easy
26,|,26,1.0,easy
76,|,1,76.0,easy
2,|,1,2.0,easy
21,|,1,21.0,easy
22,|,1,22.0,easy
91,|,1,91.0,easy
5,|,1,5.0,easy
29,|,29,1.0,easy
57,|,57,1.0,easy
95,|,95,1.0,easy
39,|,1,39.0,easy
41,|,1,41.0,easy
25,|,1,25.0,easy
92,|,1,92.0,easy
96,|,1,96.0,easy
13,|,13,1.0,easy
30,|,30,1.0,easy
89,|,1,89.0,easy
16,|,1,16.0,easy
22,|,22,1.0,easy
32,|,1,32.0,easy
14,|,1,14.0,easy
63,|,63,1.0,easy
58,|,58,1.0,easy
39,|,39,1.0,easy
69,|,1,69.0,easy
