variable1,operator,variable2,result,difficulty_level
0,*,71,0,easy
1,*,58,58,easy
0,*,10,0,easy
10,*,89,890,easy
0,*,26,0,easy
10,*,58,580,easy
0,*,89,0,easy
10,*,81,810,easy
0,*,34,0,easy
10,*,55,550,easy
0,*,30,0,easy
0,*,80,0,easy
10,*,13,130,easy
1,*,67,67,easy
10,*,17,170,easy
1,*,51,51,easy
1,*,32,32,easy
0,*,63,0,easy
1,*,19,19,easy
10,*,15,150,easy
10,*,66,660,easy
0,*,17,0,easy
10,*,97,970,easy
10,*,57,570,easy
0,*,90,0,easy
1,*,48,48,easy
1,*,33,33,easy
0,*,27,0,easy
0,*,18,0,easy
1,*,6,6,easy
10,*,37,370,easy
10,*,69,690,easy
1,*,27,27,easy
1,*,91,91,easy
10,*,41,410,easy
1,*,73,73,easy
1,*,29,29,easy
10,*,26,260,easy
0,*,72,0,easy
10,*,72,720,easy
10,*,87,870,easy
0,*,57,0,easy
10,*,8,80,easy
10,*,94,940,easy
10,*,2,20,easy
0,*,0,0,easy
1,*,7,7,easy
0,*,98,0,easy
10,*,99,990,easy
0,*,8,0,easy
0,*,99,0,easy
10,*,82,820,easy
1,*,41,41,easy
0,*,87,0,easy
0,*,55,0,easy
0,*,83,0,easy
0,*,51,0,easy
10,*,21,210,easy
1,*,38,38,easy
0,*,52,0,easy
10,*,34,340,easy
0,*,93,0,easy
1,*,59,59,easy
0,*,65,0,easy
0,*,41,0,easy
10,*,24,240,easy
10,*,49,490,easy
10,*,52,520,easy
10,*,50,500,easy
10,*,95,950,easy
10,*,5,50,easy
1,*,35,35,easy
10,*,6,60,easy
1,*,1,1,easy
0,*,50,0,easy
1,*,16,16,easy
10,*,39,390,easy
0,*,60,0,easy
0,*,79,0,easy
0,*,76,0,easy
0,*,45,0,easy
0,*,6,0,easy
0,*,42,0,easy
1,*,71,71,easy
1,*,62,62,easy
10,*,53,530,easy
1,*,14,14,easy
1,*,25,25,easy
1,*,56,56,easy
1,*,49,49,easy
0,*,58,0,easy
0,*,19,0,easy
0,*,54,0,easy
10,*,32,320,easy
0,*,20,0,easy
0,*,77,0,easy
10,*,83,830,easy
10,*,54,540,easy
1,*,86,86,easy
0,*,84,0,easy
1,*,65,65,easy
1,*,55,55,easy
0,*,2,0,easy
0,*,23,0,easy
0,*,67,0,easy
1,*,26,26,easy
1,*,18,18,easy
0,*,64,0,easy
0,*,81,0,easy
0,*,95,0,easy
1,*,69,69,easy
10,*,31,310,easy
1,*,28,28,easy
10,*,46,460,easy
1,*,77,77,easy
0,*,33,0,easy
1,*,64,64,easy
10,*,16,160,easy
10,*,33,330,easy
10,*,88,880,easy
1,*,17,17,easy
0,*,40,0,easy
1,*,5,5,easy
1,*,82,82,easy
0,*,96,0,easy
1,*,61,61,easy
0,*,68,0,easy
10,*,7,70,easy
0,*,5,0,easy
0,*,62,0,easy
0,*,78,0,easy
10,*,1,10,easy
10,*,44,440,easy
1,*,63,63,easy
1,*,81,81,easy
1,*,44,44,easy
1,*,34,34,easy
10,*,25,250,easy
10,*,86,860,easy
1,*,13,13,easy
0,*,47,0,easy
0,*,59,0,easy
10,*,51,510,easy
10,*,80,800,easy
10,*,98,980,easy
1,*,97,97,easy
1,*,66,66,easy
1,*,9,9,easy
10,*,60,600,easy
10,*,77,770,easy
0,*,12,0,easy
0,*,56,0,easy
0,*,14,0,easy
10,*,30,300,easy
0,*,75,0,easy
10,*,0,0,easy
0,*,28,0,easy
1,*,72,72,easy
1,*,20,20,easy
0,*,46,0,easy
